H0002	Version	4															
D	24PMD0002	830.28	830.29	plan	vn	3		15	32		Vein	Vein	zsc	zsc			small ~0.5cm thick quartz hm veinlet steep. 
D	24PMD0002	832.86	832.87	diff	cont	3		25	305		Sediment	Interbedding	zsc	zsa			interbedded zsc and zsa
D	24PMD0002	836.54	836.55	irreg	vn	3		70	68		Vein	Vein	zsc	zsc			brecciated set of carbonate veinlets 
D	24PMD0002	836.87	836.88	undS	fr	3		70	30		Sediment	Interbedding	zsc	zsc			strong haematite alteration and brecciated calcite veinlets are abundant 
D	24PMD0002	838.34	838.35	planS	fr	3		65	72		Sediment	Interbedding	zsc	zsc			fracture in a weakly altered limestone 
D	24PMD0002	842.06	842.07	planS	fr	3		65	85		Sediment	Interbedding	zsa	zsa			planar smooth joint
D	24PMD0002	530.25	530.26	plan	bed	3		30	310		Sediment	Interbedding	zsa	zsa			
D	24PMD0002	533.52	533.53	planS	jnt	1		55	260		Sediment	Interbedding	zsa	zsa			
D	24PMD0002	535.3	535.31	irreg	bed	1		30	300		Sediment	Interbedding	zsp	zsa			
D	24PMD0002	537.45	537.46	plan	bed	1		20	300		Sediment	Interbedding	zsp	zsa			
D	24PMD0002	539.21	539.22	plan	flt	1		30	175		Sediment	Interbedding	zsp	zsp			micro fault possible outset?
D	24PMD0002	542.61	542.62	irreg	vi	1		30	130		Vein	Vein	zsa	zsa			set of veinlets 1mm thickness with similar alpha and beta 541m to 543m
D	24PMD0002	543.17	543.18	plan	bed	1		40	310		Sediment	Interbedding	zsa	zsc			
D	24PMD0002	546.31	546.32	plan	bx	1		45	100		Breccia	Vein	zsa	bx			non-mineralised hydrothermal breccia top contact
D	24PMD0002	546.36	546.37	plan	bx	1		45	100		Breccia	Vein	bx	zsa			non-mineralised hydrothermal breccia bottom contact
D	24PMD0002	548.75	548.76	plan	vn	3		60	80		Vein	Vein	zsa	zsa			vein cb-amp vein with disseminated garnet
D	24PMD0002	550.9	550.91	sharp	bed	3		20	320		Sediment	Interbedding	zsp	zsa			
D	24PMD0002	553.62	553.63	plan	fol	3		35	330		Sediment	Interbedding	zsc	zsc			foliation is similar to the bed
D	24PMD0002	555.22	555.23	anast	vm	3		45	120		Vein	Vein	zsa	zsa			set of 1mm thickness cb-qz veinlets. With similar alfa and beta.
D	24PMD0002	556.15	556.16	irreg	vi	3		35	325		Vein	Vein	zsa	zsa			small amp stockwork veinlets 1mm to 2mm thickness with irregular texture
D	24PMD0002	557.23	557.24	irreg	bed	3		35	320		Sediment	Interbedding	zsa	zsc			
D	24PMD0002	562.39	562.4	plan	bed	3		40	330		Sediment	Interbedding	zsp	zsa			
D	24PMD0002	564.35	564.36	irreg	vi	3		30	335		Vein	Vein	zsa	zsa			ab vein
D	24PMD0002	567.09	567.1	irreg	vi	3		40	170		Vein	Vein	zsa	zsa			set of 2mm thickness cb-qz veinlets. With similar alfa and beta.
D	24PMD0002	570.08	570.09	fract	bx	3		20	150		Breccia	Vein	bx	zsa			non-mineralised cpx-ab-hm-cb-grnt breccia 
D	24PMD0002	570.48	570.49	plan	bed	3		50	335		Sediment	Interbedding	zsp	zsa			
D	24PMD0002	572.41	572.42	irreg	cont	3		40	160		Sediment	Interbedding	zsp	zsc			metasediment contact with limestone
D	24PMD0002	574.13	574.14	plan	vn	3		50	325		Vein	Vein	zsa	zsa			vein has the similar alpha and beta like bed
D	24PMD0002	576.86	576.87	plan	bx	3		65	100		Breccia	Vein	zsa	zsa			small hydrothermal breccia with plan cont
D	24PMD0002	577.8	577.81	plan	vn	3		50	335		Vein	Vein	zsa	zsa			vein has the similar alpha and beta like bed
D	24PMD0002	581.46	581.47	plan	bed	3		25	325		Sediment	Interbedding	zsp	zsa			
D	24PMD0002	584.02	584.03	anast	va	3		50	130		Vein	Vein	zsa	zsa			anast vein. possible top contact section of set of anast veins 
D	24PMD0002	585.36	585.37	undP	jnt	3		55	235		Sediment	Interbedding	zsa	zsa			
D	24PMD0002	589.13	589.14	plan	$bx	2		50	150		Breccia	Vein	zsa	zsa			small hydrothermal breccia with top cont
D	24PMD0002	589.24	589.25	plan	$bx	2		50	150		Breccia	Vein	zsa	zsa			small hydrothermal breccia with bottom cont
D	24PMD0002	590	590.01	plan	$bx	2		50	105		Breccia	Vein	zsa	zsa			small hydrothermal breccia with top cont
D	24PMD0002	590.16	590.17	plan	$bx	2		50	105		Breccia	Vein	zsa	zsa			small hydrothermal breccia with bottom cont
D	24PMD0002	590.2	590.21	irreg	$bx	2		70	110		Breccia	Vein	zsa	zsa			small hydrothermal breccia with top cont
D	24PMD0002	590.25	590.26	irreg	$bx	2		70	110		Breccia	Vein	zsa	zsa			small hydrothermal breccia with bottom cont
D	24PMD0002	844.23	844.24	sharp	bed	3		25	285		Sediment	Interbedding	zsa	zsa			altered thin 3cm lens interbedded metasediment
D	24PMD0002	847.12	847.13	sharp	cont	3		27	302		Sediment	Interbedding	zsa	zsc			top contact of psammite and pink limestone 
D	24PMD0002	847.6	847.61	sharp	cont	3		27	290		Sediment	Interbedding	zsc	zsa			bottom contact of a pocket of pink limestone 
D	24PMD0002	849.41	849.42	sharp	cont	3		22	302		Sediment	Interbedding	zsa	zsc			sharp contact of unaltered psammite with lightly altered impure limestone
